,,Composite Score,,LTR,,,Fun,,,Helpfulness,,,Issues,,,Issue Res,,,
Venue_Index,Venue,Rank Shift     ,Rank     ,Rank Shift,Rank,Score,Rank Shift ,Rank ,Score ,Rank Shift  ,Rank  ,Score  ,Rank Shift   ,Rank   ,Score   ,Rank Shift    ,Rank    ,Score    ,Survey Count
,,,,,,,,,,,,,,,,,,,
,Waco,▲,1,▲,1,92.3%,▲,1,92.3%,▲,1,92.3%,--,1,3.8%,--,1,100.0%,27
,Rogers,▲,2,▲,2,86.7%,▲,11,78.3%,▲,2,82.8%,▲,2,5.2%,▲,4,33.3%,61
,Buford,--,3,▲,5,83.1%,▼,6,80.0%,--,3,81.6%,▲,4,10.3%,▲,8,22.2%,91
,Lake Mary,▼,4,▼,7,81.5%,▲,13,77.8%,▼,17,75.9%,--,3,9.3%,▼,12,20.0%,55
,New Braunfels,▲,5,▲,3,86.2%,▼,17,76.9%,▲,4,81.3%,▲,8,12.5%,▲,29,12.5%,66
,Myrtle Beach,▲,6,▼,23,77.2%,▲,2,82.3%,▲,7,79.5%,▲,9,12.8%,▲,23,15.0%,160
,Gilbert,▲,7,▼,15,78.7%,▼,33,73.7%,▲,11,77.3%,▲,7,12.0%,▲,4,33.3%,78
,Mobile,▲,8,▲,13,79.4%,▲,12,78.3%,▲,6,80.9%,▲,46,19.1%,▲,7,23.1%,69
,Richmond,▲,9,▲,9,80.2%,▲,24,75.9%,▲,24,74.7%,▲,11,13.1%,▲,14,18.2%,88
,Tampa,▲,10,▲,24,77.1%,▲,8,79.2%,▲,14,76.9%,▲,19,14.5%,▼,31,11.8%,122
,Des Moines,▼,11,▼,16,78.7%,▲,10,78.7%,▼,18,75.9%,▼,8,12.5%,▼,56,,90
,Las Vegas,▲,12,▲,33,76.5%,▲,7,79.6%,▼,23,74.8%,▼,25,15.5%,▲,9,21.7%,153
,Houston - Katy,▲,13,▲,6,82.4%,▲,20,76.5%,▲,21,75.0%,▲,54,20.6%,▲,2,50.0%,68
,St Petersburg,▲,14,▲,32,76.5%,▲,18,76.8%,▼,30,74.0%,▲,13,13.5%,▲,7,23.1%,99
,San Antonio,▲,15,▲,11,79.6%,▲,27,74.7%,▲,16,76.3%,▲,32,17.5%,▲,31,11.8%,101
,Pompano Beach,▲,16,▼,38,75.8%,▼,23,76.0%,▲,20,75.3%,▲,18,14.4%,▲,3,35.7%,101
,Ft Myers,▼,17,▼,20,78.0%,▼,35,73.3%,▼,12,77.3%,▲,12,13.4%,▼,41,7.7%,101
,Brooklyn Center,▲,18,▼,36,76.0%,▲,15,77.6%,▲,8,79.0%,▲,14,13.7%,▼,56,,127
,Little Rock,▲,19,▼,31,76.6%,▲,9,78.7%,▲,49,69.6%,▲,10,13.0%,▲,17,16.7%,48
,Lafayette,▼,20,▼,12,79.5%,▼,17,76.9%,▼,27,74.4%,▼,24,15.4%,▼,56,,39
,Dallas,▲,21,▲,10,79.7%,▼,52,69.5%,▲,5,81.0%,▲,4,10.3%,▼,56,,61
,Greenville,▲,22,▼,21,77.8%,▲,13,77.8%,▼,33,73.5%,▼,23,15.3%,▲,45,6.7%,101
,Orlando,▼,23,▼,42,75.1%,▼,19,76.6%,▼,22,74.8%,▲,6,11.7%,▼,33,10.5%,171
,Loudoun,▲,24,▲,17,78.4%,▲,39,72.5%,▲,29,74.0%,▲,33,17.6%,▲,6,23.5%,103
,Auburn Hills,▼,25,▼,27,76.8%,▼,17,76.9%,▼,39,72.0%,▼,36,18.2%,▲,18,16.3%,278
,Ridgeland,▲,26,▲,19,78.3%,▲,16,77.2%,▲,26,74.4%,▼,57,20.9%,▲,32,11.1%,92
,Woodbury,▼,27,▼,14,78.8%,▼,40,72.4%,▼,35,72.8%,--,16,14.1%,▼,52,3.8%,186
,Knoxville,▼,28,▼,35,76.2%,▲,37,73.0%,▼,41,71.9%,▲,15,14.0%,▼,16,17.6%,122
,Charlotte Southwest,▲,29,▲,40,75.5%,▲,4,80.8%,▲,51,69.4%,▲,47,19.4%,▲,10,21.1%,99
,Glasgow,▼,30,▼,73,69.4%,▼,3,81.3%,▼,38,72.2%,▼,22,15.2%,▲,11,20.8%,161
,West Chester,▲,31,▲,30,76.6%,▲,34,73.6%,▲,19,75.4%,▲,50,19.5%,▲,26,13.0%,125
,Panama City Beach,▼,32,▼,46,74.3%,▼,22,76.1%,▼,28,74.1%,▼,17,14.3%,▲,56,,114
,Ft Worth,▲,33,▲,8,81.1%,▲,47,70.9%,▲,42,71.7%,▲,21,15.1%,▼,56,,55
,Fishers,▲,34,▲,26,77.0%,▲,30,74.3%,▲,46,69.8%,▲,28,16.5%,▲,37,8.7%,140
,Louisville,▼,35,▼,37,75.9%,▲,25,75.0%,▼,36,72.4%,▲,26,16.2%,▲,56,,110
,Doral,▲,36,▼,79,68.4%,▲,5,80.7%,▲,32,73.7%,▲,5,10.5%,▼,56,,58
,Colorado Springs,▲,37,▲,18,78.3%,▼,64,67.9%,▲,15,76.4%,▲,44,18.9%,▼,34,10.0%,107
,Scottsdale at Riverwalk,▲,38,▲,4,83.6%,▲,70,65.8%,▼,50,69.4%,▼,20,15.1%,▼,34,10.0%,73
,Webster,▲,39,▼,51,73.0%,▲,25,75.0%,▼,25,74.6%,▲,31,17.5%,▲,56,,64
,Huntsville,▲,40,▲,10,79.7%,▲,28,74.6%,▲,69,64.4%,▲,41,18.6%,▲,56,,59
,El Segundo,▲,41,▲,47,74.3%,▲,36,73.2%,▲,40,72.0%,▲,34,17.7%,▲,27,12.9%,187
,Ontario,▲,42,▲,50,73.3%,▲,21,76.2%,▲,52,68.0%,▲,53,19.9%,▲,22,15.2%,173
,Philadelphia-NE,▲,43,▲,22,77.2%,▲,35,73.3%,▼,81,60.4%,▼,43,18.8%,▼,20,15.8%,101
,Avon,▲,44,▲,44,74.7%,▲,41,72.3%,▼,67,64.6%,▲,30,17.1%,▲,5,28.6%,84
,Pittsburgh,▼,45,▼,41,75.5%,▲,38,72.6%,▼,44,71.0%,▼,42,18.7%,▲,44,6.9%,158
,Jacksonville,▼,46,▼,62,71.9%,▼,45,71.3%,▼,13,77.1%,▼,35,17.8%,▼,49,4.8%,123
,St Louis Midtown,▼,47,▼,55,72.8%,▼,31,74.2%,▼,60,65.6%,▲,29,16.7%,▼,24,13.3%,94
,Charleston,▲,48,▼,61,72.0%,▲,26,74.8%,▼,54,67.6%,▲,17,14.3%,▼,56,,108
,Tucson,▼,49,▼,34,76.4%,▼,63,68.1%,▲,31,73.9%,▲,39,18.6%,▼,41,7.7%,72
,Boise,▲,50,▲,69,70.5%,▲,44,71.4%,▲,9,78.4%,▲,52,19.8%,▲,35,9.1%,113
,Roseville,▼,51,▲,40,75.5%,▼,49,70.3%,--,43,71.2%,▼,37,18.4%,▼,53,3.7%,150
,Chesterfield,▼,52,▲,29,76.7%,▼,48,70.8%,▲,45,70.8%,▼,56,20.8%,▲,51,4.0%,120
,Thornton,▼,53,▼,53,72.8%,▼,56,68.9%,▲,10,78.0%,▼,62,22.0%,▼,35,9.1%,152
,Virginia Beach,▼,54,▲,39,75.7%,▼,55,69.1%,▼,53,67.8%,▼,63,22.4%,▼,16,17.6%,154
,Overland Park,▼,55,▼,56,72.7%,▼,58,68.6%,▼,37,72.2%,▼,51,19.6%,▲,10,21.1%,105
,Akron,▲,56,▲,25,77.0%,▲,72,65.6%,▲,34,73.3%,▲,68,23.3%,▲,43,7.1%,63
,Allen,▲,57,▲,70,70.5%,▼,72,65.6%,▲,21,75.0%,▲,29,16.7%,▲,34,10.0%,61
,Rhode Island,▼,58,▼,49,73.3%,▼,60,68.3%,▼,55,67.2%,▼,59,21.3%,▲,20,15.8%,185
,Holtsville,▲,59,▲,52,73.0%,▲,51,69.5%,▲,57,66.4%,▲,61,21.8%,▲,30,12.0%,237
,Watford,▲,60,▲,48,73.8%,▲,67,67.2%,▲,59,65.6%,▲,27,16.4%,▲,56,,62
,Baton Rouge,▲,61,▲,28,76.7%,▼,87,62.8%,▲,56,66.7%,▼,77,26.8%,▲,12,20.0%,44
,Nashville,▼,62,▼,81,68.0%,▲,14,77.7%,▼,62,65.3%,▲,69,23.5%,▼,50,4.3%,105
,Centennial,▲,63,▲,65,71.7%,▲,59,68.5%,--,44,71.0%,▼,55,20.6%,▲,40,8.0%,129
,The Colony,▲,64,▲,59,72.2%,▲,29,74.5%,▼,93,57.0%,▲,58,21.3%,▼,33,10.5%,99
,Baltimore,▲,65,▲,57,72.6%,▲,32,74.0%,▲,74,62.8%,▲,91,31.9%,▲,34,10.0%,96
,Omaha,▼,66,▼,46,74.3%,▼,84,63.7%,▼,56,66.7%,▼,52,19.8%,▲,35,9.1%,113
,Chattanooga,▲,67,▲,43,75.0%,▲,62,68.2%,▲,73,62.8%,▼,75,25.6%,▲,35,9.1%,44
,Pharr,▼,68,▼,71,69.8%,▼,42,72.1%,▲,47,69.8%,▼,83,27.9%,▼,56,,44
,Charlotte University,▼,69,▲,58,72.5%,▼,83,63.7%,▲,48,69.6%,▲,40,18.6%,▼,56,,102
,Albuquerque,▼,70,▼,67,71.4%,▼,54,69.2%,▼,68,64.4%,▼,82,27.8%,▲,19,16.0%,94
,El Paso,▼,71,▲,45,74.6%,▼,46,71.2%,▼,80,61.4%,▼,90,31.0%,▲,46,5.9%,59
,Parsippany,▲,72,▲,66,71.5%,▲,43,71.6%,▲,82,60.0%,▼,89,30.8%,▲,15,18.1%,312
,King of Prussia,▼,73,▼,60,72.0%,▲,53,69.3%,▲,75,62.7%,▲,76,26.7%,▲,31,11.8%,203
,Canton,▼,74,▲,54,72.8%,▼,66,67.5%,▼,78,61.8%,▼,66,22.7%,▼,28,12.7%,258
,Alpharetta,▼,75,▼,68,71.2%,▼,89,61.6%,▲,64,64.8%,▲,49,19.4%,▲,7,23.1%,74
,Montebello,▲,76,▲,72,69.7%,▲,79,64.4%,▲,63,65.2%,▲,45,19.0%,▲,41,7.7%,150
,Renton,▼,77,▼,78,68.7%,▼,50,70.0%,▼,76,62.3%,▼,74,25.1%,▲,35,9.1%,183
,Mt Laurel,▼,78,▼,63,71.8%,▼,85,63.6%,▼,56,66.7%,▼,64,22.4%,▲,41,7.7%,178
,Schaumburg,▼,79,▲,64,71.8%,▼,69,66.7%,▲,70,63.6%,--,67,22.8%,▼,49,4.8%,191
,Columbus,▲,80,▲,90,65.0%,▲,61,68.3%,▲,61,65.4%,▲,71,24.1%,▲,41,7.7%,164
,Vineyard,▼,81,▼,92,64.7%,▼,88,61.8%,▼,58,65.7%,▼,48,19.4%,▲,21,15.4%,70
,Glendale,▼,82,▼,94,64.2%,▼,57,68.7%,▼,58,65.7%,▼,78,26.9%,▲,47,5.6%,67
,Salt Lake City,▼,83,▼,85,67.0%,▲,68,67.0%,▼,88,57.9%,▲,38,18.5%,▼,48,5.3%,112
,Hillsboro,▼,84,▼,76,68.8%,▼,81,64.3%,▼,72,62.9%,▼,65,22.5%,▼,36,8.8%,155
,Grand Prairie,▼,85,▼,86,66.7%,▼,81,64.3%,▲,65,64.7%,▼,84,27.9%,▲,20,15.8%,71
