StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Venue,VisitDate,Q1_LTR,Q2_FUN,Q3_HELPFUL,Q4_ISSUES,Q5_ISSUE_RESOLUTION,Q6_COMMENT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Topgolf Venue,Date of Visit,"How likely are you to recommend Topgolf to a friend, family member, or colleague?",How much fun did you have during your visit?,How helpful were our team members during your visit?,Did you experience any issues during your visit?,How satisfied were you with the resolution of the issue you experienced?,Please tell us anything else you would like us to know about your visit.
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""responseId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Venue""}","{""ImportId"":""VisitDate""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}"
2026-08-01 12:45:00,2026-08-01 12:48:56,IP Address,31.230.169.19,100,236,TRUE,2026-08-01 12:48:57,R_SYNTH_022_9423,email,EN,Waco,2026-08-01,9,5 - Extremely fun,5 - Extremely helpful,No,,Really fun visit and excellent service. Our bay host checked on us regularly without being intrusive.
2026-08-03 14:55:00,2026-08-03 14:56:40,IP Address,185.223.186.42,100,100,TRUE,2026-08-03 14:56:41,R_SYNTH_007_7065,email,EN,Lake Mary,2026-08-03,9,5 - Extremely fun,4 - Very helpful,Yes,5 - Extremely satisfied,"The screen stopped tracking shots for a few minutes, but someone came over quickly and fixed it. Great experience overall."
2026-08-03 20:27:00,2026-08-03 20:28:23,IP Address,82.139.13.144,100,83,TRUE,2026-08-03 20:28:24,R_SYNTH_002_4257,email,EN,Waco,2026-08-03,10,5 - Extremely fun,5 - Extremely helpful,No,,"We had a fantastic time. The team was friendly, everything worked well, and the whole family wants to come back."
2026-08-06 18:24:00,2026-08-06 18:26:24,IP Address,79.185.166.216,100,144,TRUE,2026-08-06 18:26:25,R_SYNTH_009_1916,email,EN,Myrtle Beach,2026-08-06,7,4 - Very fun,3 - Moderately helpful,Yes,4 - Very satisfied,"We had trouble getting one of the games to start. It took a little while to get help, but the issue was resolved."
2026-08-08 11:51:00,2026-08-08 11:53:35,IP Address,77.155.161.55,100,155,TRUE,2026-08-08 11:53:36,R_SYNTH_010_9179,email,EN,Lake Mary,2026-08-08,9,5 - Extremely fun,4 - Very helpful,Yes,5 - Extremely satisfied,"The screen stopped tracking shots for a few minutes, but someone came over quickly and fixed it. Great experience overall."
2026-08-08 15:42:00,2026-08-08 15:45:19,IP Address,169.157.242.63,100,199,TRUE,2026-08-08 15:45:20,R_SYNTH_023_8749,email,EN,Rogers,2026-08-08,8,4 - Very fun,4 - Very helpful,No,,Fun night with friends. Food was good and the games were easy to get started.
2026-08-11 15:09:00,2026-08-11 15:11:10,IP Address,46.107.49.92,100,130,TRUE,2026-08-11 15:11:11,R_SYNTH_004_6635,email,EN,Gilbert,2026-08-11,9,5 - Extremely fun,4 - Very helpful,Yes,5 - Extremely satisfied,"The screen stopped tracking shots for a few minutes, but someone came over quickly and fixed it. Great experience overall."
2026-08-12 14:42:00,2026-08-12 14:44:23,IP Address,188.28.87.137,100,143,TRUE,2026-08-12 14:44:24,R_SYNTH_008_5010,email,EN,Myrtle Beach,2026-08-12,4,2 - Slightly fun,3 - Moderately helpful,Yes,2 - Slightly satisfied,"We waited quite a while for assistance when the bay equipment stopped working. It was eventually fixed, but we lost playing time."
